"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6638","Filter by Search job input should update jobs count","","Sat Feb 08 12:52:47 GMT 2025","broken","Sat Feb 08 12:52:54 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsBySearchJobInputShouldUpdateJobsCountTest"
"","270","Check change language via URL for assets widget [4] cn-tr, 交易資產","","Sat Feb 08 12:52:54 GMT 2025","broken","Sat Feb 08 12:52:54 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","512","Check change language via URL for assets widget [2] es, Operación con activos","","Sat Feb 08 12:52:54 GMT 2025","broken","Sat Feb 08 12:52:55 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","275","Check change language via URL for assets widget [3] vi, Tài sản giao dịch","","Sat Feb 08 12:52:54 GMT 2025","broken","Sat Feb 08 12:52:55 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","352","Job application page should contain all required elements","","Sat Feb 08 12:52:54 GMT 2025","broken","Sat Feb 08 12:52:54 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","jobApplicationPageShouldContainRequiredElementsTest"
"","6757","Check that job title remains the same after opening the job details page","","Sat Feb 08 12:52:47 GMT 2025","broken","Sat Feb 08 12:52:54 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","nameOfJobShouldBeTheSameAfterOpeningTest"
"","322","Check change language via URL for assets widget [5] th, สินทรัพย์การเทรด","","Sat Feb 08 12:52:54 GMT 2025","broken","Sat Feb 08 12:52:55 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
"","435","Verify clearing the application form results in reset state","","Sat Feb 08 12:52:54 GMT 2025","broken","Sat Feb 08 12:52:55 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","shouldClearResultsInJobApplicationTest"
"","6492","Check platforms in header","","Sat Feb 08 12:52:47 GMT 2025","broken","Sat Feb 08 12:52:54 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","platformsCheckTest"
"","433","Filtering jobs by location should update job count and allow clearing filters","","Sat Feb 08 12:52:54 GMT 2025","broken","Sat Feb 08 12:52:54 GMT 2025","","ui.tests.CareersTests","ui.tests.CareersTests","filteringJobsShouldUpdateJobsCountAndBeResettableTest"
"","6491","Check all main page elements (logo, buttons, language switcher, etc.)","","Sat Feb 08 12:52:47 GMT 2025","broken","Sat Feb 08 12:52:54 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","mainPageShouldHaveCorrectMainElementsTest"
"","6557","Check change language via URL for assets widget [1] en, Trading Assets","","Sat Feb 08 12:52:47 GMT 2025","broken","Sat Feb 08 12:52:54 GMT 2025","","ui.tests.MainPageTests","ui.tests.MainPageTests","checkTranslationForAssetsWhenChangeUrlTest"
